palabra ,Significado
abombar,Aturdir
achacar,Imputar algo en forma equivocada 
achuras,Vísceras
achurar,Sacarle las vísceras a una res. Matar
adobe,"Ladrillo sin cocer, secado al sol "
aflojar manija,Ceder
aflus,Sin Nada 
aguaitar,"Acechar, espiar "
ahijuna,"Interjección. Contracción de "" ¡ Ah hijo de una ! "" "
aleluyas,"Cuentos, mentiras. "
al ñudo,Inútilmente 
alzado,Sublevado. Animal chúcaro 
amolar,"Embromar, fastidiar, incomodar, jorobar "
amujar,Bajar 
angelito,"Niño de corta edad, muerto "
angurria,"Mucho deseo de algo, ansia. "
aparcero,"Compañero, amigo. "
apedarse,"Emborracharse, embriagarse."
apero,Conjunto de elementos que componen la montura del caballo 
aplastado,Caballo cansado. 
aporriar,"Castigar, maltratar. "
apostrarse,"Enceguecerse de rabia, como potro enfurecido. "
arisco,No domado 
arriador,Látigo largo 
arrumbao,Abandonado 
asariarse,"Azorarse, sobresaltarse "
atorado,"Atragantado, ahogado. Quien obra sin meditar. "
ave,"Todo animal de caza (ñandú, peludo, jabalí, etc.) "
aviao,El que posee algo.
bagual,Caballo salvaje 
bandalaje,"Bandidaje, conjunto de bandidos. "
baquiano,Conocedor de una región. 
barajo,Eufemismo para no decir carajo 
barato,Regalo que hace el jugador que gana a alguno de los presentes. 
barullo,Desorden 
barraco,"Verraco, cerdo. "
bastos,"Lomillo, prenda del recado de montar. "
bichoco,"Caduco, viejo, ya inútil, obsoleto. "
bolada,"Ocasión, oportunidad favorable. "
bolas,Boleadoras 
bolazo,Mentira. Golpe 
boliarse,El potro que se hecha para atrás. 
boliche,Pequeño almacén o despacho de bebidas. 
bombero,Espía 
bombiar,Espiar 
bardona,La sexta cuerda de la guitarra. 
bozal,El que habla torpemente el idioma 
bruta,Eufemismo para no decir puta 
buey corneta,Buey que tiene una sola asta
cacique,Jefe indio 
calamaco,Poncho pequeño y ordinario 
camándulas,Artimañas 
campiar,"Campear, salir al campo en búsqueda de animales "
cancha,Terreno emparejado donde se hacían carrera de caballos. 
canejo,Eufemismo para no decir carajo 
cantar para contrapunto,Payar 
cantar para el carnero,Morir 
carguero,Animal de carga 
carne de cogote,La parte mas despreciada del vacuno. 
carne de paloma,"De color morado, y morado es cobarde. "
carniar,Matar una res 
cebar,Preparar mate 
cardiar,Cortar las cerdas del caballo 
cimarron,"Animal salvaje, bagual. Mate amargo "
cimbróm,Sacudón 
cincha,"En el juego de naipes, sacar las cartas juntas. "
cojillo,Manta de lana de la montura 
como barriga de sapo,Fría 
concertador,Cantor que improvisa 
conchabar,"Emplear a salario fijo, generalmente mensual "
contingente,Conjunto d soldados 
cortearse,"Separarse, irse solo. "
corrido,Experimentado 
costearse,Molestarse 
criollo,Nativo hijo de extranjero 
cuartiar,Ayudar con una cuarta 
cucañas,Procedimiento de mala fe. 
curiar,Sacar el cuero a una res 
cuerpiar,"Evitar algo, desentenderse de algo. También esquivar la puñalada o el bolazo "
cuja,Cama con respaldo 
cuna,Casa de expósitos
chafalote,Bárbaro o caballo de gran alzada o cuchillo grande
chaguarazo,Latigazo
chaja,Ave vigilante como el tero
chamuscado,Medio borracho
chancleta,"Cobarde, maula, o mujer ya de cierta edad"
chancho,Cerdo
charango,Guitarra
chapeton,Inexperto
charabon,"Avestruz pequeño, aun sin plumas"
chasque,Correo
chaucha,Moneda de poco valor
chicote,"Rebenque, látigo"
chifle,Asta de buey para llevar líquido
china,India. Cariñosamente el gaucho llamaba así a su mujer
chiripa,Calzón amplio
chucho,Miedo
chumbo,Bala
chuncaco,Sanguijuela
chupar," Beber, emborracharse, embriagarse"
chusma,"Entre los indios, la gente que no peleaba: viejos, mujeres y niños"
daño,"Hechizo, brujería "
dar alce,"Dar respiro, tregua"
dar lazo,Cuando se enlaza a un animal se lo deja correr un rato para desarrollar el lazo. 
dar palo,Alusión o reproche mortificante 
de arriba,Sin pagar impunemente. 
de ley,De buena calidad 
de mala muerte,De mala clase 
desofocar,Estropear las patas del caballo 
despedicion,Deformación de expedición 
despeluzarse,Temblar de miedo 
despilchao,"Sin pilchas, pobremente vestido "
divertido,Algo ebrio
echar panes,Decir bravatas 
el como,"La manera, el modo "
el malo,El diablo 
embretar,"Encerrar, aprisionar "
embuchao,Agravio contenido 
emperrado,"Empecinado, terco, empacado "
enancaos,Dos jinetes en un caballo 
en baca,"De acuerdo, actuando en conjunto "
encocorarse,Enojarse 
encordao,Conjunto de cuerdas de la guitarra 
enganchao,Soldado contratado a sueldo 
enriedar,"Embridar, poner las riendas "
entonao,Seguro de su guapeza 
entreverarse,"Mezclarse, confundirse "
entrevero,"Choque, pelea a cuchillo o lanza, cuerpo a cuerpo "
entripao,Agravio contenido 
envenao,Cuchillo con el cabo forrado en verga 
espichar,Morir 
estanquiar,Castigo que consistía en atar al preso de pies y manos a cuatro estacas 
estricote,Sin miramiento
facón,Cuchillo grande 
cfandango,"Baile. Alboroto, desorden "
fï,Fui 
filiar,"Enderezar, componer "
flete,Caballo de carrera 
flojo,"Cobarde, maula "
fregona,"Burlona, de fregar: molestar, burlar "
frontera,"Límite de las tierras del hombre blanco y el indio, señalada por fortines "
fumar,Engañar
garguero,Garganta 
garifo,"Altanero, apuesto, galano "
fato,Nombre de un baile 
gauchada,"Gauchaje. También favor, ayuda, acción generosa "
gringo,Extranjero 
grullo,Peso moneda nacional 
guacho,Sin padres 
guadal,Terreno movedizo 
gualicho,Brujería 
guapo,"Valiente o fuerte, resistidor "
